# create tree
c

# insert 50 items
d 205
i 32
d 411
i 65
d 314
i 131
d 120
i 263
d 241
i 18
d 483
i 37
d 458
i 75
d 408
i 151
d 308
i 303
d 108
i 98
d 217
i 197
d 435
i 395
d 362
i 282
d 216
i 56
d 433
i 113
d 358
i 227
d 208
i 455
d 417
i 402
d 326
i 296
d 144
i 84
d 289
i 169
d 70
i 339
d 141
i 170
d 283
i 341
d 58
i 174
d 117
i 349
d 235
i 190
d 471
i 381
d 434
i 254
d 360
i 0
d 212
i 1
d 425
i 3
d 342
i 7
d 176
i 15
d 353
i 31
d 198
i 63
d 397
i 127
d 286
i 255
d 64
i 2
d 129
i 5
d 259
i 11
d 10
i 23
d 21
i 47
d 43
i 95
d 87
i 191
d 175
i 383
d 351
i 258
d 194
i 8
d 389
i 17
d 270
i 35
d 32
i 71
d 65
i 143
d 131
i 287
d 263
i 66
d 18
i 133
d 37
i 267
d 75
i 26
d 151
i 53
d 303
i 107
d 98
i 215
d 197
i 431
d 395
i 354
d 282
i 200
d 56
i 401
d 113
i 294
d 227
i 80
d 455
i 161
d 402
i 323
d 296
i 138
d 84
i 277
d 169
i 46
d 339
i 93
d 170
i 187
d 341
i 375
d 174
i 242
d 349
i 485
d 190
i 462
d 381
i 416
d 254
i 324
d 0
i 140
d 1
i 281
d 3
i 54
d 7
i 109
d 15
i 219
d 31
i 439
d 63
i 370
d 127
i 232
d 255
i 465
d 2
i 422
d 5
i 336
d 11
i 164
d 23
i 329
d 47
i 150
d 95
i 301
d 191
i 94
d 383
i 189
d 258
i 379
d 8
i 250
d 17
i 501
d 35
i 494
d 71
i 480
d 143
i 452
d 287
i 396
d 66
i 284
d 133
i 60
d 267
i 121
d 26
i 243
d 53
i 487
d 107
i 466
d 215
i 424
d 431
i 340
d 354
i 172
d 200
i 345
d 401
i 182
d 294
i 365
d 80
i 222
d 161
i 445
d 323
i 382
d 138
i 256
d 277
i 4
d 46
i 9
d 93
i 19
d 187
i 39
d 375
i 79
d 242
i 159
d 485
i 319
d 462
i 130
d 416
i 261
d 324
i 14
d 140
i 29
d 281
i 59
d 54
i 119
d 109
i 239
d 219
i 479
d 439
i 450
d 370
i 392
d 232
i 276
d 465
i 44
d 422
i 89
d 336
i 179
d 164
i 359
d 329
i 210
d 150
i 421
d 301
i 334
d 94
i 160
d 189
i 321
d 379
i 134
d 250
i 269
d 501
i 30
d 494
i 61
d 480
i 123
d 452
i 247
d 396
i 495
d 284
i 482
d 60
i 456
d 121
i 404
d 243
i 300
d 487
i 92
d 466
i 185
d 424
i 371
d 340
i 234
d 172
i 469
d 345
i 430
d 182
i 352
d 365
i 196
d 222
i 393
d 445
i 278
d 382
i 48
d 256
i 97
d 4
i 195
d 9
i 391
d 19
i 274
d 39
i 40
d 79
i 81
d 159
i 163
d 319
i 327
d 130
i 146
d 261
i 293
d 14
i 78
d 29
i 157
d 59
i 315

# test for successful searches
s 81
s 163
s 327
s 146
s 293
s 78
s 157
s 315
s 119
s 239
s 479
s 450
s 392
s 276
s 44
s 89
s 179
s 359
s 210
s 421
s 334
s 160
s 321
s 134
s 269
s 30
s 61
s 123
s 247
s 495
s 482
s 456
s 404
s 300
s 92
s 185
s 371
s 234
s 469
s 430
s 352
s 196
s 393
s 278
s 48
s 97
s 195
s 391
s 274
s 40

# test for unsuccessful searches
s 122
s 245
s 491
s 474
s 440
s 372
s 236
s 473
s 438
s 368
s 228
s 457
s 406
s 304
s 100
s 201
s 403
s 298
s 88
s 177
s 355
s 202
s 405
s 302
s 96
s 193
s 387
s 266
s 24
s 49
s 99
s 199
s 399
s 290
s 72
s 145
s 291
s 74
s 149
s 299
s 90
s 181
s 363
s 218
s 437
s 366
s 224
s 449
s 390
s 272

# delete all but 20 entries
d 119
d 239
d 479
d 450
d 392
d 276
d 44
d 89
d 179
d 359
d 210
d 421
d 334
d 160
d 321
d 134
d 269
d 30
d 61
d 123
d 247
d 495
d 482
d 456
d 404
d 300
d 92
d 185
d 371
d 234

# show the tree structure
S

# delete until empty
d 469
d 430
d 352
d 196
d 393
d 278
d 48
d 97
d 195
d 391
d 274
d 40
d 81
d 163
d 327
d 146
d 293
d 78
d 157
d 315

# traverse empty tree
P

# search in empty tree
s 254

# try a delete in empty tree
d 254

# end of test
